Site TA,Site & transect,Transect Point (m),Date,Time,Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments
3,TA-3-2,2, 2019-05-16,10:08:00 AM,25,5,20,4,2,3,5,"Mussel, barnacle, worm, snail, limpet"
3,TA-3-2,5, 2019-05-16,10:23:00 AM,10,1,10,1,2,2,4,"Mussel, barnacle, snail, limpet "
3,TA-3-4,18, 2019-05-16,11:40:00 AM,10,5,10,3,2,3,5,"Mussel, barnacle, snail, limpet, crab"
3,TA-3-4,20, 2019-05-16,11:45:00 AM,15,10,5,3,2,3,5,"Mussel, barnacle, snail, limpet"
3,TA-3-5,4, 2019-05-21,1:15:00 PM,20,5,15,2,2,1,3,"Mussel, barnacle, snail"
3,TA-3-5,22, 2019-05-21,1:55:00 PM,60,50,10,1,,,3,N/A
3,TA-3-7,2, 2019-05-21,2:42:00 PM,25,5,20,2,2,2,4,"Mussel, barnacle, snail, limpet"
3,TA-3-7,29, 2019-05-21,3:30:00 PM,0,0,0,0,0,0,0,N/A
5,TA-5-1,4, 2019-05-22,1:30:00 PM,99,80,19,3,2,5,7,"Sowbug, fly, barnacle, mussel, isopod, limpet, worm. Invertebrate cover determined by moving algae"
5,TA-5-1,4, 2019-05-22,1:40:00 PM,99,75,24,3,2,5,7,"Isopod, worm, barnacle, sowbug, mussel, crab, limpet"
5,TA-5-2,3, 2019-05-22,3:04:00 PM,95,35,60,4,1,3,4,"Barnacle, caprellid, limpet, snail"
5,TA-5-2,20, 2019-05-22,3:28:00 PM,10,1,9,1,1,0,1,Barnacle
5,TA-5-4,7, 2019-05-22,1:17:00 PM,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, worm, fly"
5,TA-5-4,25, 2019-05-22,1:54:00 PM,5,2,3,2,2,4,6,"Barnacle, mussel, limpet, worm, snail, anthropod"
5,TA-5-7,11, 2019-05-22,3:05:00 PM,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, isopod, amphipod "
