Site_TA,Site_transect,Transect_Point_m,Date,Time,Littorine_snails,Nucella_snails,Limpets,Other,Comments,Species_1_(Count)_Species_2_(Count),SUM_Worm,SUM_Insects,SUM_Fly,SUM_Beetle,SUM_Crab,SUM_Shore_Crab,SUM_Hermit_Crab,SUM_Amphipod,SUM_Anemones,SUM_Isopod,SUM_Snail,SUM_Fish,SUM_Sea_Star,SUM_Shrimp,SUM_Bivalve,SUM_Oyster,Lined_chiton,Mussels,Barnacles,Rockweed,Sea_Lettuce,Pacific_Blue_Mussel,Bryozoan,Blackpine_seaweed,SUM_Arthropod
3,TA-3-2,1,2019-05-16,10:30:00,50,0,20,7,,"Worm 1 (1), Worm 2 (Polychaete, 1), Spider (1), Worm 3 (Brown, 3), Fly (Intermidge, 1)",5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-2,8,2019-05-16,10:55:00,350,0,13,7,,"Fly (3), Beetle (4)",0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-4,9,2019-05-16,11:55:00,160,0,20,3,,"Shore Crab (2), Mite (1)",0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-4,26,2019-05-16,12:20:00,150,0,30,7,,"Fly (cranefly, 1), Beetle (1), Mite (2), Other Insect (""Hopping"", 1), Fly (Intermidge, 2)",0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-5,7,2019-05-21,13:23:00,220,0,72,6,,"Hermit Crab (1), Shore Crab (5)",0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-5,23,2019-05-21,14:00:00,298,0,38,4,,"Shore Crab (3), Midge (1)",0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-7,13,2019-05-21,14:48:00,132,0,55,1,,Shore Crab (1),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-7,23,2019-05-21,15:14:00,820,0,48,7,,"Beetle (Road, 7) ",0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,13,2019-05-21,13:50:00,0,111,70,6,,"Worm 1 (1), Worm 2 (1), Caprellid (2), Fly (2) ",2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,23,2019-05-21,14:10:00,0,300,25,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
