Site TA,Site & transect,Transect Point (m),Date,Time,Littorine snails,Nucella snails,Limpets,Other,"Specify-- Species 1 (Count), Species 2 (Count)…",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,1, 2019-05-16,10:30:00 AM,50,0,20,7,"Worm 1 (1), Worm 2 (Polychaete, 1), Spider (1), Worm 3 (Brown, 3), Fly (Intermidge, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,8, 2019-05-16,10:55:00 AM,350,0,13,7,"Fly (3), Beetle (4)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,9, 2019-05-16,11:55:00 AM,160,0,20,3,"Shore Crab (2), Mite (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,26, 2019-05-16,12:20:00 PM,150,0,30,7,"Fly (cranefly, 1), Beetle (1), Mite (2), Other Insect (""Hopping"", 1), Fly (Intermidge, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,7, 2019-05-21,1:23:00 PM,220,0,72,6,"Hermit Crab (1), Shore Crab (5)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,23, 2019-05-21,2:00:00 PM,298,0,38,4,"Shore Crab (3), Midge (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,13, 2019-05-21,2:48:00 PM,132,0,55,1,Shore Crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,23, 2019-05-21,3:14:00 PM,820,0,48,7,"Beetle (Road, 7) ",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,13, 2019-05-21,1:50:00 PM,0,111,70,6,"Worm 1 (1), Worm 2 (1), Caprellid (2), Fly (2) ",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,23, 2019-05-21,2:10:00 PM,0,300,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,1, 2019-05-22,2:47:00 PM,0,0,40,8,"Scud 1 (2), Fly (4), Scud 2 (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
