Site_TA,Site_transect,Transect_Point_M,Quadrat_Number_Q,Photo_ID,Date,Surveyors,Start_Time,End_Time,Total_Cover,Algae_Cover,Invertebrates_Cover,Algae_Count,Algae_ID,Algae_BAR,Algae_GAC,Algae_GAM,Algae_RAS,Algae_GAU,Algae_RAF,Algae_BASC,Algae_BAE,Algae_RAI,Algae_BAW,Algae_RATT,Algae_RAP,Sessile_Invertebrates_Count_Above,Sessile_Above_ID,Sessile_Above_BVM,Sessile_Above_Barnacle,Sessile_Above_BA,Sessile_Above_BT,Sessile_Above_BVL,Sessile_Above_LI,Sessile_Above_BCO,Sessile_Above_BVV,Sessile_Invertebrates_Count_Below,Sessile_Below_ID,Sessile_Below_LI,Sessile_Below_BVM,Sessile_Below_BA,Sessile_Below_AA,Sessile_Below_BT,Sessile_Below_BCO,Mobile_Invertebrates_Count_Above,Mobile_Above_ID,Mobile_Above_WM,Mobile_Above_SL,Mobile_Above_shrimp,Mobile_Above_seastar,Mobile_Above_CRH,Mobile_Above_CRI,Mobile_Above_CRP,Mobile_Above_Fly,Mobile_Invertebrates_Count_Below,Mobile_Below_ID,Mobile_Below_WM,Mobile_Below_CRH,Mobile_Below_CRP,Mobile_Below_CRI,Mobile_Below_seastar,Mobile_Below_Insect,All_Invertebrates_Above_Below,Comments_Quadrat,Number_of_Rocks,Number_of_Rocks_Flipped,Rocks_Comments
1,TA-1-1,15,3,TA-1-T1-M15-Q3,2023-12-26,"M,J",22:14,22:17,90,50,50,2,"BAR,GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"WM, SL",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-1,24,4,TA-1-T1-M24-Q4,2023-12-26,"M,J",22:18,22:23,60,40,60,3,"GAC, RAS, BAR",1,1,0,1,0,0,0,0,0,0,0,0,3,"BVM, barnacles, LI",1,1,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-1,1,1,TA-1-T1-M1-Q1,2023-12-26,"M,J",21:59,22:05,70,20,80,4,"BAR, GAC, GAU, RAF",1,1,0,0,1,1,0,0,0,0,0,0,2,"BA,BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-1,10,3,TA-1-T1-M10-Q3,2023-12-26,"M,J",22:09,N/A,30,50,50,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-1,22,3,TA-1-T1-M22-Q3,2023-12-26,"A,D",22:18,22:20,60,65,35,2,"BASC, GAC",0,1,0,0,0,0,1,0,0,0,0,0,3,"BVM, BA, LI",1,0,1,0,0,1,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,"BASC(80%), GAC(20%)",0,0,
1,TA-1-1,13,1,TA-1-T1-M13-Q1,2023-12-26,"A,D",22:09,22:15,75,40,60,2,"BASC, GAC",0,1,0,0,0,0,1,0,0,0,0,0,2,"BVM, BA",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"BASC(80%), GAC(20%)",0,0,
1,TA-1-2,7,4,TA-1-T2-M7-Q4,2023-12-26,"M,J",22:34,22:37,40,70,30,1,GAC,0,1,0,0,0,0,0,0,0,0,0,0,3,"BVM, BT, BA",1,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,0,0,
1,TA-1-2,8,1,TA-1-T2-M8-Q1,2023-12-26,"M,J",22:37,22:40,30,60,40,1,GAC,0,1,0,0,0,0,0,0,0,0,0,0,2,"BT, BVM",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-2,30,2,TA-1-T2-M30-Q2,2023-12-26,"M,J",22:46,22:48,20,80,20,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"OS, SL",0,1,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-2,18,4,TA-1-T2-M18-Q4,2023-12-26,"M,J",22:42,22:44,90,30,70,2,"GAC, BAW",0,1,0,0,0,0,0,0,0,1,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
