Site_TA,Site_transect,Date,Surveyors,Start_Time,End_Time,Start_Lat,Start_Long,End_Long,End_Lat,Length_m,Density_of_Sea_Stars_Count,Sea_Star_Species_Present,Ochre_EO,Leather_EL,Mottled_EM,Density_of_Frilled_Dogwinkle_count,Density_of_Oysters_count,Additional_species_count,Total_Garbage_count,Salinity,Surface_Temp_C,Comments
1,TA-1-1,2023-12-26,"J,M,A,D",21:27,N/A,N/A,N/A,49.286389,-123.150278,30,0,N/A,N/A,N/A,N/A,1,N/A,0,0,N/A,8.1,"Error with salinity meter, frilled dogwinkle shell - no organism"
1,TA-1-2,2023-12-26,"A,D",22:30,22:49,49.292778,-123.150556,49.292778,-123.151111,30,0,N/A,N/A,N/A,N/A,0,N/A,0,0,N/A,N/A,
1,TA-1-3,2023-12-26,"A,D",22:53,N/A,49.2925,-123.150833,49.2925,-123.150833,7,0,N/A,N/A,N/A,N/A,0,N/A,0,0,N/A,N/A,No mussel line 
1,TA-1-5,2023-12-26,"A,D",23:09,23:32,49.2925,-123.15,49.292222,-123.150556,30,0,N/A,N/A,N/A,N/A,0,N/A,Lots of black and white snails and limpets,0,N/A,N/A,
6,TA-6-7,2024-01-10,"J,M,A,D,S",21:20,N/A,49.30059,-123.11788,49.30067,-123.1179,15.9,40,"2 EL, 38 Ochre",38,1,0,0,0,0,1,N/A,7.8,"3 quadrats, many rocks covered in filamentous red algae"
6,TA-6-6,2024-01-10,"M,D",23:10,N/A,49.29961,-123.11948,49.29997,-123.11949,30,28,mostly EO,28,0,0,0,0,0,0,N/A,N/A,"cheese-looking organism, holes, edible shrimp, purple crab"
6,TA-6-5,2024-01-10,"M,D",N/A,N/A,49.29975,-123.1199,49.3,-123.11987,30,10,mostly EO,10,0,0,0,1,0,0,N/A,5.1,Mostly thatched acorns
6,TA-6-4,2024-01-10,"M,D",21:59,N/A,49.29982,-123.12045,49.30003,-123.1204,30,0,N/A,N/A,N/A,N/A,0,0,"6 (Litterine snails, thatched acorn barnacle, pool with krill/hermit crabs/crabs/fish)",0,N/A,5.9,Error with salinity meter
4,TA-4-2,2024-02-07,"M,D",8:18,8:38,49.31189,-123.15157,N/A,N/A,30,0,N/A,N/A,N/A,N/A,0,0,"Fish,Hermit crab, crab, krill, mussels, isopods",0,N/A,10.1,Error with salinity meter
4,TA-4-3,2024-02-07,"M,D",8:50,9:00,49.31259,-123.15011,49.31281,-123.15028,30,0,N/A,N/A,N/A,N/A,0,0,"Isopod, littorines, BVV, white worm, green crab, hermit crab, chunky worm, crabs",0,N/A,9.6,Error with salinity meter
