Site TA,Site & transect,Date,Latitude,Longitude,Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments,Nucella Snail,Oche Sea Star,Leather Sea Star,Mottled Star,Limpet,oyster,Worm,Periwinkle snail
Girl in Wetsuit,GWH1,05-Dec,49.302479,-123.1260429,243,113,130,N/A,N/A,12,12,Limpet (12),0,0,0,0,12,0,0,0
Girl in Wetsuit,GWH2,05-Dec,49.3024861,-123.1259132,166,36,130,N/A,N/A,5,5,Oyster (5),0,0,0,0,0,5,0,0
Girl in Wetsuit,GWH3,21-Jan-23,49.3026882,-123.1262069,64,42,22,N/A,N/A,17,17,"Worm (12), Limpet (5)",0,0,0,0,5,0,12,0
Girl in Wetsuit,GWH4,21-Jan-23,49.3027188,-123.1261995,106,57,49,N/A,N/A,20,20,Nucella Snail (20),20,0,0,0,0,0,0,0
Girl in Wetsuit,GWH5,18-Feb-23,49.3024592,-123.1257848,75,25,50,N/A,N/A,2,2,"Ochre sea star (2), Mottled star (1)",0,2,0,1,0,0,0,0
Girl in Wetsuit,GWL1,21-Jan-23,49.3034462,-123.1262348,71,71,0,N/A,N/A,2,2,Leather Star (2),0,0,2,0,0,0,0,0
Girl in Wetsuit,GWL2,21-Jan-23,49.3035888,-123.1263215,153,132,21,N/A,N/A,1,1,Leather Star (1),0,0,1,0,0,0,0,0
Girl in Wetsuit,GWL3,21-Jan-23,49.303621,-123.1264407,120,120,0,N/A,N/A,0,0,,0,0,0,0,0,0,0,0
Girl in Wetsuit,GWL4,21-Jan-23,49.3035772,-123.1266553,82,82,0,N/A,N/A,0,0,,0,0,0,0,0,0,0,0
Girl in Wetsuit,GWL5,18-Feb-23,49.3035651,-123.1263136,90,90,0,N/A,N/A,3,3,Leather star (3),0,0,3,0,0,0,0,0
Girl in Wetsuit,GWL6,18-Feb-23,49.3035488,-123.1265491,73,73,0,N/A,N/A,0,0,,0,0,0,0,0,0,0,0
Girl in Wetsuit,GWM1,05-Dec,49.3029959,-123.1266158,104,4,100,N/A,N/A,18,18,Nucella Snail (18),18,0,0,0,0,0,0,0
Girl in Wetsuit,GWM2,05-Dec,49.3029388,-123.1261439,71,19,52,N/A,N/A,6,6,"Oche sea star (2), Leather star (3), Mottled star (1)",0,2,3,1,0,0,0,0
Girl in Wetsuit,GWM3,21-Jan-23,49.3031325,-123.1264792,114,14,100,N/A,N/A,10,10,"Nucella Snail (8), Limpet (2)",8,0,0,0,2,0,0,0
Girl in Wetsuit,GWM4,18-Feb-23,49.3034688,-123.1264792,79,79,0,N/A,N/A,8,8,"Ochre sea star (4), leather star (4)",0,4,4,0,0,0,0,0
Girl in Wetsuit,GWM5,18-Feb-23,49.3033362,-123.1264991,102,22,80,N/A,N/A,100,100,Ochre sea star (100),0,100,0,0,0,0,0,0
Girl in Wetsuit,GWM6,18-Feb-23,49.3031499,-123.1261542,284,196,88,N/A,N/A,12,12,"Ochre Sea Star (6), Periwinkle snail (6)",0,6,0,0,0,0,0,6
