,,,,Transect data,,,,,,1m quadrat,,,,,,,,,,,,0.25m quadrat,,,,,,,,,,,,,,,,,
Date,Site TA,Site & transect,Transect Point (m),Transect Length (m),Density of Sea Stars (Count),Total Garbage (Count),Salinity (ppt),Surface Water Temperature ,Transect Comments,Littorine snails,Nucella snails,Limpets,Other,"Specify-- Species 1 (Count), Species 2 (Count)É",Number of Individuals measured,Mean Length (mm),Median Length (mm),Mean Width (mm),Median Width (mm),Site & transect,Transect Point (m),Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments,,,,,,,,,,
2019-05-30,1,TA-1-1,1 to 30,30,0,0,12.42,18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-1,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-1,6,30,N/A,N/A,N/A,N/A,,38,0,68,6,"Fly (5), Worm (Polychaete 1)",10,6.1,6.0,4.2,4.2,TA-1-1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-1,20,30,N/A,N/A,N/A,N/A,,250,0,60,0,,10,6.7,6.0,4.8,4.6,TA-1-1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-1,22,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-1,22,60,10,50,2,2,2,4,"Mussel, barnacle, snail, limpet",,,,,,,,,,
2019-05-30,1,TA-1-1,23,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-1,23,45,5,40,1,2,1,3,"Mussel, barnacle, snail",,,,,,,,,,
2019-05-30,1,TA-1-2,1 to 30,30,0,0,12.42,18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-2,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-2,13,30,N/A,N/A,N/A,N/A,,9,0,26,181,"Midge Fly (180), Isopod (1)",10,6.6,6.6,5.3,5.3,TA-1-2,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-2,20,30,N/A,N/A,N/A,N/A,,98,0,9,41,"Fly (40), White Crab (1)",9,5.7,4.8,3.9,3.8,TA-1-2,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-2,17,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-2,17,30,25,5,3,2,5,7,"Mussel, barnacle, snail, limpet, stripped snail, crab, termite ",,,,,,,,,,
