year,month,day,Date,low_tide_time_local_time,low_tide_height_m,transect_id,distance_along_transect_m,seaweed_id,phylum,percent_cover
2021,9,5,2021-09-05,11:31,1,2,0,BAR,brown,40
2021,9,5,2021-09-05,11:31,1,2,0,mastocarpus.upright_sp,red,5
2021,9,5,2021-09-05,11:31,1,2,5,mastocarpus.upright_sp,red,5
2021,9,5,2021-09-05,11:31,1,2,10,BAR,brown,5
2021,9,5,2021-09-05,11:31,1,2,15,BAR,brown,2
2021,9,5,2021-09-05,11:31,1,2,15,mastocarpus.upright_sp,red,2
2021,9,5,2021-09-05,11:31,1,2,20,BAR,brown,1
2021,9,5,2021-09-05,11:31,1,2,20,ulva_sp,green,1
2021,9,5,2021-09-05,11:31,1,2,25,BAR,brown,10
2021,9,5,2021-09-05,11:31,1,2,25,ulva_sp,green,1
2021,9,5,2021-09-05,11:31,1,2,30,BAR,brown,2
2021,9,5,2021-09-05,11:31,1,2,30,ulva_sp,green,1
2021,9,5,2021-09-05,11:31,1,3,0,BAR,brown,70
2021,9,5,2021-09-05,11:31,1,3,0,mastocarpus.upright_sp,red,5
2021,9,5,2021-09-05,11:31,1,3,5,BAR,brown,1
2021,9,5,2021-09-05,11:31,1,3,10,BAR,brown,2
2021,9,5,2021-09-05,11:31,1,3,10,mastocarpus.upright_sp,red,3
2021,9,5,2021-09-05,11:31,1,3,15,ulva_sp,green,10
2021,9,5,2021-09-05,11:31,1,3,20,BAR,brown,2
2021,9,5,2021-09-05,11:31,1,3,20,ulva_sp,green,5
2021,9,5,2021-09-05,11:31,1,3,25,ulva_sp,green,1
2021,9,5,2021-09-05,11:31,1,3,30,ulva_sp,green,5
2021,9,5,2021-09-05,11:31,1,3,40,ulva_sp,green,2
2021,9,5,2021-09-05,11:31,1,3,45,ulva_sp,green,10
2021,9,5,2021-09-05,11:31,1,3,50,ulva_sp,green,30
2021,9,5,2021-09-05,11:31,1,3,55,ulva_sp,green,20
2021,9,5,2021-09-05,11:31,1,3,60,ulva_sp,green,10
2021,9,5,2021-09-05,11:31,1,4,0,BAR,brown,70
2021,9,5,2021-09-05,11:31,1,4,0,mastocarpus.upright_sp,red,2
2021,9,5,2021-09-05,11:31,1,4,5,mastocarpus.upright_sp,red,2
2021,9,5,2021-09-05,11:31,1,4,15,BAR,brown,1
2021,9,5,2021-09-05,11:31,1,4,15,mastocarpus.upright_sp,red,1
2021,9,5,2021-09-05,11:31,1,4,20,ulva_sp,green,5
2021,9,5,2021-09-05,11:31,1,4,20,mastocarpus.upright_sp,red,1
2021,9,5,2021-09-05,11:31,1,4,25,BAR,brown,1
2021,9,5,2021-09-05,11:31,1,4,25,ulva_sp,green,1
2021,9,5,2021-09-05,11:31,1,4,30,BAR,brown,1
2021,9,5,2021-09-05,11:31,1,4,30,ulva_sp,green,2
2021,10,4,2021-10-04,10:57,1.4,2,0,BAR,brown,40
2021,10,4,2021-10-04,10:57,1.4,2,0,mastocarpus.upright_sp,red,20
2021,10,4,2021-10-04,10:57,1.4,2,5,mastocarpus.upright_sp,red,1
2021,10,4,2021-10-04,10:57,1.4,2,10,BAR,brown,20
2021,10,4,2021-10-04,10:57,1.4,2,10,mastocarpus.upright_sp,red,1
2021,10,4,2021-10-04,10:57,1.4,2,15,BAR,brown,10
2021,10,4,2021-10-04,10:57,1.4,2,15,mastocarpus.upright_sp,red,1
2021,10,4,2021-10-04,10:57,1.4,2,20,mastocarpus.upright_sp,red,2
2021,10,4,2021-10-04,10:57,1.4,2,25,BAR,brown,5
2021,10,4,2021-10-04,10:57,1.4,2,25,ulva_sp,green,2
2021,10,4,2021-10-04,10:57,1.4,3,0,BAR,brown,40
2021,10,4,2021-10-04,10:57,1.4,3,0,mastocarpus.upright_sp,red,20
2021,10,4,2021-10-04,10:57,1.4,3,10,BAR,brown,1
2021,10,4,2021-10-04,10:57,1.4,3,10,mastocarpus.upright_sp,red,1
2021,10,4,2021-10-04,10:57,1.4,3,15,ulva_sp,green,15
2021,10,4,2021-10-04,10:57,1.4,3,15,mastocarpus.upright_sp,red,1
2021,10,4,2021-10-04,10:57,1.4,3,20,BAR,brown,5
2021,10,4,2021-10-04,10:57,1.4,3,20,ulva_sp,green,1
2021,10,4,2021-10-04,10:57,1.4,4,0,BAR,brown,70
2021,10,4,2021-10-04,10:57,1.4,4,0,mastocarpus.upright_sp,red,5
2021,10,4,2021-10-04,10:57,1.4,4,5,BAR,brown,1
2021,10,4,2021-10-04,10:57,1.4,4,5,mastocarpus.upright_sp,red,2
2021,10,4,2021-10-04,10:57,1.4,4,10,BAR,brown,1
2021,10,4,2021-10-04,10:57,1.4,4,20,BAR,brown,10
2021,10,4,2021-10-04,10:57,1.4,4,20,ulva_sp,green,1
2021,10,4,2021-10-04,10:57,1.4,4,20,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,0,BAR,brown,40
2021,11,5,2021-11-05,0:33,0.7,2,0,mastocarpus.upright_sp,red,20
2021,11,5,2021-11-05,0:33,0.7,2,5,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,10,BAR,brown,15
2021,11,5,2021-11-05,0:33,0.7,2,10,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,20,BAR,brown,1
2021,11,5,2021-11-05,0:33,0.7,2,25,BAR,brown,3
2021,11,5,2021-11-05,0:33,0.7,2,25,ulva_sp,green,1
2021,11,5,2021-11-05,0:33,0.7,2,25,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,30,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,35,BAR,brown,20
2021,11,5,2021-11-05,0:33,0.7,2,35,ulva_sp,green,1
2021,11,5,2021-11-05,0:33,0.7,2,35,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,2,35,polyneura_latissima,red,1
2021,11,5,2021-11-05,0:33,0.7,3,0,BAR,brown,35
2021,11,5,2021-11-05,0:33,0.7,3,0,mastocarpus.upright_sp,red,5
2021,11,5,2021-11-05,0:33,0.7,3,15,BAR,brown,1
2021,11,5,2021-11-05,0:33,0.7,3,15,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,3,35,ulva_sp,green,1
2021,11,5,2021-11-05,0:33,0.7,3,40,mastocarpus.upright_sp,red,2
2021,11,5,2021-11-05,0:33,0.7,3,45,ulva_sp,green,1
2021,11,5,2021-11-05,0:33,0.7,4,0,BAR,brown,50
2021,11,5,2021-11-05,0:33,0.7,4,0,mastocarpus.upright_sp,red,5
2021,11,5,2021-11-05,0:33,0.7,4,5,BAR,brown,1
2021,11,5,2021-11-05,0:33,0.7,4,5,mastocarpus.upright_sp,red,2
2021,11,5,2021-11-05,0:33,0.7,4,10,BAR,brown,2
2021,11,5,2021-11-05,0:33,0.7,4,10,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,4,15,BAR,brown,1
2021,11,5,2021-11-05,0:33,0.7,4,15,mastocarpus.upright_sp,red,2
2021,11,5,2021-11-05,0:33,0.7,4,30,ulva_sp,green,1
2021,11,5,2021-11-05,0:33,0.7,4,30,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,4,35,BAR,brown,1
2021,11,5,2021-11-05,0:33,0.7,4,35,ulva_sp,green,10
2021,11,5,2021-11-05,0:33,0.7,4,35,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,4,40,ulva_sp,green,5
2021,11,5,2021-11-05,0:33,0.7,4,40,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,4,45,ulva_sp,green,10
2021,11,5,2021-11-05,0:33,0.7,4,45,mastocarpus.upright_sp,red,1
2021,11,5,2021-11-05,0:33,0.7,4,45,RATT,red,1
2021,11,5,2021-11-05,0:33,0.7,4,50,ulva_sp,green,5
2021,11,5,2021-11-05,0:33,0.7,4,50,RATT,red,1
2021,11,5,2021-11-05,0:33,0.7,4,55,BAW,brown,3
2021,11,5,2021-11-05,0:33,0.7,4,55,ulva_sp,green,5
2021,11,5,2021-11-05,0:33,0.7,4,55,mastocarpus.upright_sp,red,2
2021,11,5,2021-11-05,0:33,0.7,4,55,polyneura_latissima,red,1
2021,11,5,2021-11-05,0:33,0.7,4,55,RAI,red,1
2021,11,5,2021-11-05,0:33,0.7,4,55,prionitis_sternbergii,red,1
2021,12,4,2021-12-04,0:08,0.2,2,0,BAR,brown,30
2021,12,4,2021-12-04,0:08,0.2,2,0,mastocarpus.upright_sp,red,25
2021,12,4,2021-12-04,0:08,0.2,2,10,BAR,brown,3
2021,12,4,2021-12-04,0:08,0.2,2,15,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,2,25,BAR,brown,2
2021,12,4,2021-12-04,0:08,0.2,2,35,BAR,brown,4
2021,12,4,2021-12-04,0:08,0.2,2,40,BAR,brown,2
2021,12,4,2021-12-04,0:08,0.2,2,40,BAW,brown,1
2021,12,4,2021-12-04,0:08,0.2,2,40,polyneura_latissima,red,2
2021,12,4,2021-12-04,0:08,0.2,2,45,BAS,brown,10
2021,12,4,2021-12-04,0:08,0.2,2,45,melanosiphon_intestinalis,brown,1
2021,12,4,2021-12-04,0:08,0.2,2,45,BAW,brown,10
2021,12,4,2021-12-04,0:08,0.2,2,45,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,2,45,mastocarpus.upright_sp,red,2
2021,12,4,2021-12-04,0:08,0.2,2,45,polyneura_latissima,red,10
2021,12,4,2021-12-04,0:08,0.2,2,45,RAI,red,1
2021,12,4,2021-12-04,0:08,0.2,3,0,BAR,brown,35
2021,12,4,2021-12-04,0:08,0.2,3,0,mastocarpus.upright_sp,red,5
2021,12,4,2021-12-04,0:08,0.2,3,10,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,3,10,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,3,20,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,3,50,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,3,55,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,3,60,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,3,65,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,3,65,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,3,70,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,3,70,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,3,70,hildenbrandia_sp,red,15
2021,12,4,2021-12-04,0:08,0.2,3,75,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,3,75,RATT,red,1
2021,12,4,2021-12-04,0:08,0.2,3,75,RAI,red,1
2021,12,4,2021-12-04,0:08,0.2,3,75,hildenbrandia_sp,red,10
2021,12,4,2021-12-04,0:08,0.2,4,0,BAR,brown,85
2021,12,4,2021-12-04,0:08,0.2,4,0,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,4,5,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,4,10,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,4,15,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,4,15,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,4,20,mastocarpus.upright_sp,red,1
2021,12,4,2021-12-04,0:08,0.2,4,25,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,4,35,BAR,brown,1
2021,12,4,2021-12-04,0:08,0.2,4,35,polyneura_latissima,red,1
2021,12,4,2021-12-04,0:08,0.2,4,40,ulva_sp,green,1
2021,12,4,2021-12-04,0:08,0.2,4,45,BAR,brown,1
