,,,Relative Abundance (%),,,Diversity (Counts),,,,
Site TA,Site & transect,Date,Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments
Kits Beach,KBL1,4-Dec,69,12.5,56.5,N/A,N/A,0,0,
,KBM2,4-Dec,290.5,90.5,270,N/A,N/A,9,9,"Worm (4), Limpet (5)"
,KBH1,4-Dec,186.5,94.5,92,N/A,N/A,20,20,"Worm (5), Limpet (4), Nucella Snail (11)"
,KBH2,4-Dec,148.5,44.5,104,N/A,N/A,5,5,Nucella Snail (5)
Girl in Wetsuit,GWM1,5-Dec,104,4,100,N/A,N/A,18,18,Nucella Snail (18)
,GWM2,5-Dec,71,19,52,N/A,N/A,6,6,"Oche sea star (2), Leather star (3), Mottled star (1)"
,GWH1,5-Dec,243,113,130,N/A,N/A,12,12,Limpet (12)
,GWH2,5-Dec,166,36,130,N/A,N/A,5,5,Oyster (5)
Girl in Wetsuit,GWH3,21-Jan-23,64,42,22,N/A,N/A,17,17,"Worm (12), Limpet (5)"
,GWH4,21-Jan-23,106,57,49,N/A,N/A,20,20,Nucella Snail (20)
,GWM3,21-Jan-23,114,14,100,N/A,N/A,10,10,"Nucella Snail (8), Limpet (2)"
,GWL1,21-Jan-23,71,71,0,N/A,N/A,2,2,Leather Star (2)
,GWL2,21-Jan-23,153,132,21,N/A,N/A,1,1,Leather Star (1)
,GWL3,21-Jan-23,120,120,0,N/A,N/A,0,0,
,GWL4,21-Jan-23,82,82,0,N/A,N/A,0,0,
Kits Beach,KBH3,22-Jan-23,153,81,72,N/A,N/A,207,207,"Nucella Snail (200), Worm (7)"
,KBH4,22-Jan-23,109,48,61,N/A,N/A,0,0,
,KBM3,22-Jan-23,230,90,140,N/A,N/A,0,0,
,KBM4,22-Jan-23,158,74,84,N/A,N/A,15,15,Nucella Snail (15)
,KBL1,22-Jan-23,56.5,8.5,48,N/A,N/A,2,2,"Anemone (1), Mottled star (1)"
,KBL2,22-Jan-23,153,53,100,N/A,N/A,0,0,
,KBL3,22-Jan-23,70,20,50,N/A,N/A,3,3,"Ochre sea star (2), Mottled star (1)"
,KBL4,22-Jan-23,131,41,90,N/A,N/A,0,0,
Girl in Wetsuit,GWH5,18-Feb-23,75,25,50,N/A,N/A,2,2,"Ochre sea star (2), Mottled star (1)"
,GWL5,18-Feb-23,90,90,0,N/A,N/A,3,3,Leather star (3)
,GWL6,18-Feb-23,73,73,0,N/A,N/A,0,0,
,GWM4,18-Feb-23,79,79,0,N/A,N/A,8,8,"Ochre sea star (4), leather star (4)"
,GWM5,18-Feb-23,102,22,80,N/A,N/A,100,100,Ochre sea star (100)
,GWM6,18-Feb-23,284,196,88,N/A,N/A,12,12,"Ochre Sea Star (6), Periwinkle snail (6)"
Kits Beach,KBH5,19-Feb-23,191,41,150,N/A,N/A,1,1,Limpet (1)
,KBH6,19-Feb-23,92,88,4,N/A,N/A,3,3,"Periwinkle snail (2), Worm (1)"
,KBM5,19-Feb-23,280,95,185,N/A,N/A,6,6,"Nucella snail (3), worm (3)"
,KBM6,19-Feb-23,110,22,88,N/A,N/A,3,3,Limpet (3)
,KBL5,19-Feb-23,108,8,100,N/A,N/A,0,0,
,KBL6,19-Feb-23,113,4,109,N/A,N/A,0,0,
